filename,Pellets,PeakAccuracy,Left_Poke,Right_Poke,Total_Pokes,Accuracy,PokesPerPellet,RetrievalTime,PokeTime,Win-stay,Lose-stay,LeftWithPellet,Session_type,Mouse_ID,Gene,Sex,FED3,FED_StartDate,DOB,Bandit100_weight,FR1_Weight,Bandit80_weight
CDKL5_005_178_78_FR1_20251009.csv,170,,170,78,248,68.54838709677419,1.4588235294117646,2.14,0.08,90.69767441860465,57.6271186440678,164,FR1,CDKL5_005_178_78,CDKL5,F,33.0,10/6/25,7/19/25,18.83,19.58,18.98
CDKL5_005_179_14_FR1_20251009.csv,149,,149,62,211,70.61611374407583,1.4161073825503356,1.16,0.08,92.3076923076923,62.96296296296296,71,FR1,CDKL5_005_179_14,CDKL5,F,34.0,10/6/25,8/7/25,16.63,17.79,17.06
CDKL5_005_179_17_FR1_20251009.csv,153,,153,50,203,75.36945812807882,1.326797385620915,0.66,0.11,96.07843137254902,73.17073170731707,3,FR1,CDKL5_005_179_17,CDKL5,M,38.0,10/6/25,8/7/25,22.24,22.4,22.23
CDKL5_005_179_20_FR1_20251009.csv,121,,121,71,192,63.020833333333336,1.5867768595041323,0.49,0.15,91.86046511627907,63.63636363636363,1,FR1,CDKL5_005_179_20,CDKL5,F,35.0,10/6/25,8/7/25,15.61,16.67,16.26
CDKL5_005_180_66_FR1_20251009.csv,141,,141,71,212,66.50943396226415,1.50354609929078,0.94,0.13,83.54430379746836,57.99999999999999,105,FR1,CDKL5_005_180_66,CDKL5,F,27.0,10/6/25,7/16/25,19.27,19.73,19.06
CDKL5_005_180_67_FR1_20251009.csv,205,,205,64,269,76.2081784386617,1.3121951219512196,0.85,0.14,92.66055045871559,63.829787234042556,12,FR1,CDKL5_005_180_67,CDKL5,M,53.0,10/6/25,7/16/25,24.61,25.7,24.89
CDKL5_005_180_69_FR1_20251009.csv,209,,209,46,255,81.96078431372548,1.2200956937799043,0.94,0.175,94.21487603305785,52.17391304347826,7,FR1,CDKL5_005_180_69,CDKL5,M,19.0,10/6/25,7/16/25,23.8,25.98,23.86
CDKL5_005_182_57_FR1_20251009.csv,163,,163,70,233,69.95708154506438,1.4294478527607362,0.49,0.15,85.08771929824562,44.0,2,FR1,CDKL5_005_182_57,CDKL5,M,20.0,10/6/25,7/16/25,24.94,25.74,24.85
CDKL5_005_182_64_FR1_20251009.csv,146,,146,101,247,59.10931174089069,1.6917808219178083,0.73,0.1,75.86206896551724,60.75949367088608,49,FR1,CDKL5_005_182_64,CDKL5,F,28.0,10/6/25,7/16/25,19.26,20.61,19.16
CDKL5_005_182_65_FR1_20251009.csv,148,,148,102,250,59.199999999999996,1.6891891891891893,0.91,0.17,89.53488372093024,70.4225352112676,26,FR1,CDKL5_005_182_65,CDKL5,F,45.0,10/6/25,7/16/25,19.05,20.04,19.66
